Sentence text,Aspect text,Aspect position,Polarity,Position
enjoyed a very nice caesar salad while my wife had arugula and goat cheese both very tasty,caesar salad,"[4, 6]",positive,329
enjoyed a very nice caesar salad while my wife had arugula and goat cheese both very tasty,arugula and goat cheese,"[10, 14]",positive,330
we both opted for a pasta dish and they were served timely and fresh,pasta dish,"[5, 7]",positive,331
we concluded with tiramisu chocolate cake both were delicious,tiramisu chocolate cake,"[3, 6]",positive,332
i recently went to this restaurant with some co workers for lunch and had an amazing time,restaurant,"[5, 6]",positive,333
the staff was accomodating the food was absolutely delicious and the place is lovely,staff,"[1, 2]",positive,334
the staff was accomodating the food was absolutely delicious and the place is lovely,food,"[5, 6]",positive,335
the staff was accomodating the food was absolutely delicious and the place is lovely,place,"[11, 12]",positive,336
we even had a visit from the manager who wanted to make sure we were enjoying ourselves,manager,"[7, 8]",positive,337
sometimes i get good food and ok service,food,"[4, 5]",positive,338
sometimes i get good food and ok service,service,"[7, 8]",neutral,339
sometimes i get bad food and bad service sometimes i get good good and bad service,food,"[4, 5]",negative,340
sometimes i get bad food and bad service sometimes i get good good and bad service,service,"[7, 8]",negative,341
sometimes i get bad food and bad service sometimes i get good good and bad service,service,"[7, 8]",negative,342
sometimes i get bad food and bad service sometimes i get good good and bad service,good,"[11, 12]",positive,343
the place is a bistro which means simple dishes and wine served efficiently in a bustling atmosphere,dishes,"[8, 9]",positive,344
the place is a bistro which means simple dishes and wine served efficiently in a bustling atmosphere,wine,"[10, 11]",positive,345
the place is a bistro which means simple dishes and wine served efficiently in a bustling atmosphere,atmosphere,"[16, 17]",positive,346
and where does patis go wrong no where,patis,"[3, 4]",positive,347
and evaluated on those terms pastis is simply wonderful,pastis,"[5, 6]",positive,348
right off the l in brooklyn this is a nice cozy place with good pizza,pizza,"[14, 15]",positive,349
right off the l in brooklyn this is a nice cozy place with good pizza,place,"[11, 12]",positive,350
mine was a little burnt but still delicious with goat cheese and panchetta raddichio was kind of bitter though,raddichio,"[13, 14]",negative,351
my friend got the mushroom pizza which tasted better,mushroom pizza,"[4, 6]",positive,352
the sangria was pretty tasty and good on a hot muggy day,sangria,"[1, 2]",positive,353
kind of a small place but i guess if they are not too busy might be able to fit a group or kids,place,"[4, 5]",neutral,354
i started out with a bombay beer which was big enough for two,bombay beer,"[5, 7]",positive,355
service was slow but the people were friendly,service,"[0, 1]",negative,356
service was slow but the people were friendly,people,"[5, 6]",positive,357
it s a nice place to relax and have conversation,place,"[4, 5]",positive,358
the food is authentic italian delicious,food,"[1, 2]",positive,359
pizza is terrific as is homemade pasta,pizza,"[0, 1]",positive,360
pizza is terrific as is homemade pasta,homemade pasta,"[5, 7]",positive,361
ambience is delightful service impeccable,ambience,"[0, 1]",positive,362
ambience is delightful service impeccable,service,"[3, 4]",positive,363
i m still mad that i had to pay for lousy food,food,"[11, 12]",negative,364
the hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed,hanger steak,"[1, 3]",negative,365
the hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed,tuna,"[8, 9]",negative,366
service was also horrible and the ambience is not that great,service,"[0, 1]",negative,367
service was also horrible and the ambience is not that great,ambience,"[6, 7]",negative,368
i go and eat out at many different restaurants and this is one place you have go and try,place,"[13, 14]",positive,369
this is my first time writing a review for a restaurant because the food and service was excellent,food,"[13, 14]",positive,370
this is my first time writing a review for a restaurant because the food and service was excellent,service,"[15, 16]",positive,371
the filet mignon dish was superb,filet mignon dish,"[1, 4]",positive,372
it s a small cute restaurant,restaurant,"[5, 6]",positive,373
i absolutely love this place,place,"[4, 5]",positive,374
i like the ambience it s very dark and original,ambience,"[3, 4]",positive,375
the sushi is amazing,sushi,"[1, 2]",positive,376
very affordable and excellent ambient,ambient,"[4, 5]",positive,377
we ordered some beef and noodle soup dishes from the thai section of the menu but nothing we got was thai,beef and noodle soup dishes,"[3, 8]",negative,378
we won t go to this place again for a good meal,meal,"[11, 12]",negative,379
however i think this place is a good hang out spot,place,"[4, 5]",positive,380
my girlfriend and i stumbled onto this hopping place the other night and had a great time,place,"[8, 9]",positive,381
the pizza and wine were excellent the service too but what really made this place was the backyard dining area,pizza,"[1, 2]",positive,382
the pizza and wine were excellent the service too but what really made this place was the backyard dining area,wine,"[3, 4]",positive,383
the pizza and wine were excellent the service too but what really made this place was the backyard dining area,service,"[7, 8]",positive,384
the pizza and wine were excellent the service too but what really made this place was the backyard dining area,backyard dining area,"[17, 20]",positive,385
it is one the nicest outdoor restaurants i have ever seen in ny i am from italy and this place rivals the ones in my country,outdoor restaurants,"[5, 7]",positive,386
check this place out,place,"[2, 3]",positive,387
first of all this place is not romantic as claimed by citysearch s editorial review,place,"[4, 5]",negative,388
the tables are crammed way too close the menu is typical of any italian restaurant and the wine list is simply overpriced,tables,"[1, 2]",negative,389
the tables are crammed way too close the menu is typical of any italian restaurant and the wine list is simply overpriced,menu,"[8, 9]",neutral,390
the tables are crammed way too close the menu is typical of any italian restaurant and the wine list is simply overpriced,wine list,"[17, 19]",negative,391
slightly above average wines start at 70 with only one selection listed at 30,wines,"[3, 4]",negative,392
slightly above average wines start at 70 with only one selection listed at 30,wines,"[3, 4]",negative,393
service is not what one would expect from a joint in this price category,service,"[0, 1]",negative,394
somehow working the italian charm with constant mille grazie does not constitute proper service,service,"[13, 14]",negative,395
to be completely fair the only redeeming factor was the food which was above average but couldn t make up for all the other deficiencies of teodora,food,"[10, 11]",positive,396
to be completely fair the only redeeming factor was the food which was above average but couldn t make up for all the other deficiencies of teodora,teodora,"[26, 27]",negative,397
not one of our meals was edible bland and or made with weird rosemary or orange flavoring,meals,"[4, 5]",negative,398
not one of our meals was edible bland and or made with weird rosemary or orange flavoring,rosemary or orange flavoring,"[13, 17]",negative,399
fish was overdone,fish,"[0, 1]",negative,400
cute place nice wait staff but would never go there again,wait staff,"[3, 5]",positive,401
cute place nice wait staff but would never go there again,place,"[1, 2]",positive,402
cute place nice wait staff but would never go there again,place,"[1, 2]",negative,403
someone else recommended the dessert we also left that,dessert,"[4, 5]",negative,404
one of us actually liked the expresso that s it,expresso,"[6, 7]",positive,405
skip this restaurant it s a big disappointment,restaurant,"[2, 3]",negative,406
myagi is one of my favorite restaurants in the city the place the negative reviews describe sound like they were somewhere else,myagi,"[0, 1]",positive,407
i ve never had bad service and the fish is fresh and delicious,service,"[5, 6]",positive,408
i ve never had bad service and the fish is fresh and delicious,fish,"[8, 9]",positive,409
their tuna tartar appetizer is to die for,tuna tartar appetizer,"[1, 4]",positive,410
i come from a family of pizzeria owners and i m almost ashamed to say that the pizza in fornino s blows my families receipies away,pizza,"[17, 18]",positive,411
the place is so cool and the service is prompt and curtious,service,"[7, 8]",positive,412
the place is so cool and the service is prompt and curtious,place,"[1, 2]",positive,413
i highly recommend to anyone to give this place a try,place,"[8, 9]",positive,414
a restaurant that doesn t try to do anything except serve great food with great service in a pleasant atmosphere,food,"[12, 13]",positive,415
a restaurant that doesn t try to do anything except serve great food with great service in a pleasant atmosphere,service,"[15, 16]",positive,416
a restaurant that doesn t try to do anything except serve great food with great service in a pleasant atmosphere,atmosphere,"[19, 20]",positive,417
no gimmicks here the food speaks for itself in its freshness and preparation,food,"[4, 5]",positive,418
the dining room is quietly elegant with no music to shout over how refreshing,dining room,"[1, 3]",positive,419
the service was impeccable and unobtrusive the staff knows what they are there to do to know their menu present your meal and attend to your needs,service,"[1, 2]",positive,420
the service was impeccable and unobtrusive the staff knows what they are there to do to know their menu present your meal and attend to your needs,staff,"[7, 8]",positive,421
looking around i saw a room full of new yorkers enjoying a real meal in a real restaurant not a clubhouse of the fabulous trying to be seen,meal,"[13, 14]",positive,422
looking around i saw a room full of new yorkers enjoying a real meal in a real restaurant not a clubhouse of the fabulous trying to be seen,restaurant,"[17, 18]",positive,423
the view is breathtaking the service is top notch the ambiance is wonderfull,view,"[1, 2]",positive,424
the view is breathtaking the service is top notch the ambiance is wonderfull,service,"[5, 6]",positive,425
the view is breathtaking the service is top notch the ambiance is wonderfull,ambiance,"[10, 11]",positive,426
the staff offers impeccable service,staff,"[1, 2]",positive,427
i had lobster bisque it has 2 oz of maine lobster in it,lobster bisque,"[2, 4]",positive,428
my boyfriend had the new england chowder it was good but i think the award should go to the lobster bisque,new england chowder,"[4, 7]",positive,429
my boyfriend had the new england chowder it was good but i think the award should go to the lobster bisque,lobster bisque,"[19, 21]",positive,430
my boyfriend had prime rib it was good,prime rib,"[3, 5]",positive,431
we didn t want a bottle of bubbly on a weekday so we each got little bottles of korbett it was just enough,bottles of korbett,"[16, 19]",positive,432
my wife and i ate here earlier this week and have not stopped ranting and raving about the food,food,"[18, 19]",positive,433
if you like spicy food get the chicken vindaloo,chicken vindaloo,"[7, 9]",positive,434
go to volare for 1st class service and terrific food,service,"[6, 7]",positive,435
go to volare for 1st class service and terrific food,food,"[9, 10]",positive,436
the portions are large and the servers always surprise us with a different starter,portions,"[1, 2]",positive,437
the wine list is excellent,wine list,"[1, 3]",positive,438
the food is amazing especially if you get the chef s tasting menu and your favourite bottle or two of wine from an extensive selection of wines,food,"[1, 2]",positive,439
the food is amazing especially if you get the chef s tasting menu and your favourite bottle or two of wine from an extensive selection of wines,selection of wines,"[24, 27]",positive,440
the food is amazing especially if you get the chef s tasting menu and your favourite bottle or two of wine from an extensive selection of wines,chef s tasting menu,"[9, 13]",positive,441
the place is small and intimate and you may feel a little crowded but the service is excellent and it s great for friends out a romantic date or a special occassion,service,"[15, 16]",positive,442
the place is small and intimate and you may feel a little crowded but the service is excellent and it s great for friends out a romantic date or a special occassion,place,"[1, 2]",negative,443
the place is small and intimate and you may feel a little crowded but the service is excellent and it s great for friends out a romantic date or a special occassion,place,"[1, 2]",positive,444
the food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don t like,food,"[1, 2]",negative,445
the food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don t like,prixe fixe tasting menu,"[7, 11]",positive,446
the food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don t like,prixe fixe tasting menu,"[7, 11]",positive,447
with the exception of our lemon salad that had so much pepper on it that our eyes started watering the food here was decent not great,food,"[20, 21]",neutral,448
with the exception of our lemon salad that had so much pepper on it that our eyes started watering the food here was decent not great,lemon salad,"[5, 7]",negative,449
the menu is very limited i think we counted 4 or 5 entrees,menu,"[1, 2]",negative,450
we ordered the special grilled branzino that was so infused with bone it was difficult to eat,grilled branzino,"[4, 6]",negative,451
the decor in this place is very diner ish and the kind of place you expect in the east village not romantic just simple small and sparse,decor,"[1, 2]",neutral,452
problem is nothing at prune is particularly memorable,prune,"[4, 5]",negative,453
this place is so much fun,place,"[1, 2]",positive,454
our family never expected such incredible entertainment in a restaurant,entertainment,"[6, 7]",positive,455
our food was great too,food,"[1, 2]",positive,456
and really large portions,portions,"[3, 4]",positive,457
the staff was the friendliest that have seen in new york,staff,"[1, 2]",positive,458
if you want something really different than try jekyll and hyde,jekyll and hyde,"[8, 11]",positive,459
the food was pretty tradional but it was hot and good with large portions,food,"[1, 2]",positive,460
the food was pretty tradional but it was hot and good with large portions,portions,"[13, 14]",positive,461
the place is a lot of fun,place,"[1, 2]",positive,462
the characters really make for an enjoyable experience,characters,"[1, 2]",positive,463
the food however is what one might expect,food,"[1, 2]",negative,464
however i think jeckll and hydes t is one of those places that is fun to do once,jeckll and hydes,"[3, 6]",positive,465
service was slow had to wait to order and get food although not crowded,service,"[0, 1]",negative,466
drinks way over priced,drinks,"[0, 1]",negative,467
food was good not great not worth the wait or another visit,food,"[0, 1]",neutral,468
great pizza for lunch place,pizza,"[1, 2]",positive,469
service was quick,service,"[0, 1]",positive,470
the pizza was great,pizza,"[1, 2]",positive,471
whenever you need a sushi fix mizu will be there with quality fish and great service,fish,"[12, 13]",positive,472
whenever you need a sushi fix mizu will be there with quality fish and great service,service,"[15, 16]",positive,473
delivery is fast too,delivery,"[0, 1]",positive,474
great friendly service fast seating fast delivery excellent sushi,service,"[2, 3]",positive,475
great friendly service fast seating fast delivery excellent sushi,seating,"[4, 5]",positive,476
great friendly service fast seating fast delivery excellent sushi,delivery,"[6, 7]",positive,477
great friendly service fast seating fast delivery excellent sushi,sushi,"[8, 9]",positive,478
ess a bagel either by sty town or midtown is by far the best bagel in ny,bagel,"[2, 3]",positive,479
the bagels always warm soft on the inside crispy on the outside and enormous in size,bagels,"[1, 2]",positive,480
the bagels always warm soft on the inside crispy on the outside and enormous in size,bagels,"[1, 2]",positive,481
they have a huge selection of different cream cheeses and all of their salads are great,salads,"[13, 14]",positive,482
they have a huge selection of different cream cheeses and all of their salads are great,cream cheeses,"[7, 9]",positive,483
the lox is always fresh too,lox,"[1, 2]",positive,484
not impressed with the food,food,"[4, 5]",negative,485
prices too high for this cramped and unappealing resturant,resturant,"[8, 9]",negative,486
prices too high for this cramped and unappealing resturant,resturant,"[8, 9]",negative,487
zero ambiance to boot,ambiance,"[1, 2]",negative,488
i thought this place was totally overrated,place,"[3, 4]",negative,489
the ambience was nice but service wasn t so great,ambience,"[1, 2]",positive,490
the ambience was nice but service wasn t so great,service,"[5, 6]",negative,491
this is the best shabu shabu restaurant in the try state area,shabu shabu restaurant,"[4, 7]",positive,492
i have lived in japan for 7 years and the taste of the food and the feel of the restaurant is like being back in japan,food,"[13, 14]",positive,493
i have lived in japan for 7 years and the taste of the food and the feel of the restaurant is like being back in japan,feel,"[16, 17]",positive,494
thius is a must for anyone who loves shabu shabu,shabu shabu,"[8, 10]",positive,495
the atmosphere is nothing special but it feels like a sushi establishment in tokyo,atmosphere,"[1, 2]",positive,496
the owner and staff are all japanese as well and that adds to the entire ambiance,owner,"[1, 2]",positive,497
the owner and staff are all japanese as well and that adds to the entire ambiance,staff,"[3, 4]",positive,498
the owner and staff are all japanese as well and that adds to the entire ambiance,ambiance,"[15, 16]",positive,499
despite a slightly limited menu everything prepared is done to perfection ultra fresh and a work of food art,menu,"[4, 5]",negative,500
taxan delicious,taxan,"[0, 1]",positive,501
the prices were cheap compared to the quality of service and food,service,"[9, 10]",positive,502
the prices were cheap compared to the quality of service and food,food,"[11, 12]",positive,503
the location and ambience is ok but the food is what makes up for it,location,"[1, 2]",neutral,504
the location and ambience is ok but the food is what makes up for it,ambience,"[3, 4]",neutral,505
the location and ambience is ok but the food is what makes up for it,food,"[8, 9]",positive,506
try green curry with vegetables,green curry with vegetables,"[1, 5]",positive,507
the quantity is also very good you will come out satisfied,quantity,"[1, 2]",positive,508
the service is ok some of the people didn t get what they asked for,service,"[1, 2]",neutral,509
i had the best ravioli ever,ravioli,"[4, 5]",positive,510
the wine the service was very good too,wine,"[1, 2]",positive,511
the wine the service was very good too,service,"[3, 4]",positive,512
this quaint and romantic trattoria is at the top of my manhattan restaurant list,trattoria,"[4, 5]",positive,513
this quaint and romantic trattoria is at the top of my manhattan restaurant list,trattoria,"[4, 5]",positive,514
the food is delicious from the specials to the regular menu fare the dishes are never a disappointment,food,"[1, 2]",positive,515
the food is delicious from the specials to the regular menu fare the dishes are never a disappointment,dishes,"[13, 14]",positive,516
the food is delicious from the specials to the regular menu fare the dishes are never a disappointment,specials,"[6, 7]",positive,517
the food is delicious from the specials to the regular menu fare the dishes are never a disappointment,regular menu fare,"[9, 12]",positive,518
whether it s the parmesean porcini souffle or the lamb glazed with balsamic vinegar you will surely be transported to northern italy with one bite,parmesean porcini souffle,"[4, 7]",positive,519
whether it s the parmesean porcini souffle or the lamb glazed with balsamic vinegar you will surely be transported to northern italy with one bite,lamb glazed with balsamic vinegar,"[9, 14]",positive,520
although the tables may be closely situated the candle light food quality and service overcompensate,candle light,"[8, 10]",positive,521
although the tables may be closely situated the candle light food quality and service overcompensate,food,"[10, 11]",positive,522
although the tables may be closely situated the candle light food quality and service overcompensate,service,"[13, 14]",positive,523
although the tables may be closely situated the candle light food quality and service overcompensate,tables,"[2, 3]",negative,524
i have known about this secret for the last 13 years emilio the godfather has continued to serve food and wine for the gods at mortal prices,food,"[18, 19]",positive,525
i have known about this secret for the last 13 years emilio the godfather has continued to serve food and wine for the gods at mortal prices,wine,"[20, 21]",positive,526
i have known about this secret for the last 13 years emilio the godfather has continued to serve food and wine for the gods at mortal prices,food,"[18, 19]",positive,527
i have known about this secret for the last 13 years emilio the godfather has continued to serve food and wine for the gods at mortal prices,wine,"[20, 21]",positive,528
if you go try the marinara arrabiatta sauce the mozzarella en carozza is mmmmmmmm everything is just delicious,marinara arrabiatta sauce,"[5, 8]",positive,529
if you go try the marinara arrabiatta sauce the mozzarella en carozza is mmmmmmmm everything is just delicious,mozzarella en carozza,"[9, 12]",positive,530
check out the secret back room,back room,"[4, 6]",positive,531
thank you emilio,emilio,"[2, 3]",positive,532
i found the food service and value exceptional everytime i have been there,food,"[3, 4]",positive,533
i found the food service and value exceptional everytime i have been there,service,"[4, 5]",positive,534
the food was authentic,food,"[1, 2]",positive,535
the service was excellent friendly and attentive,service,"[1, 2]",positive,536
very good wine choices,wine choices,"[2, 4]",positive,537
who has room for cheesesticks with the best pizza in nyc,pizza,"[8, 9]",positive,538
get the pepperoni yum and a family style salad,pepperoni,"[2, 3]",positive,539
get the pepperoni yum and a family style salad,family style salad,"[6, 9]",positive,540
great staff,staff,"[1, 2]",positive,541
always great service,service,"[2, 3]",positive,542
the food is good i can t lie,food,"[1, 2]",positive,543
but the staff was so horrible to us,staff,"[2, 3]",negative,544
the hostess and the waitress were incredibly rude and did everything they could to rush us out,hostess,"[1, 2]",negative,545
the hostess and the waitress were incredibly rude and did everything they could to rush us out,waitress,"[4, 5]",negative,546
we were planning to get dessert but the waitress basically through the bill at us before we had a chance to order,waitress,"[8, 9]",negative,547
this place is pricey and yes the food is worth it but the service makes you feel like you should be paying a quater of the price,place,"[1, 2]",negative,548
this place is pricey and yes the food is worth it but the service makes you feel like you should be paying a quater of the price,food,"[7, 8]",positive,549
this place is pricey and yes the food is worth it but the service makes you feel like you should be paying a quater of the price,service,"[13, 14]",negative,550
amma is nothing special,amma,"[0, 1]",neutral,551
i ate here a week ago and found most dishes average at best and too expensive,dishes,"[9, 10]",negative,552
i ate here a week ago and found most dishes average at best and too expensive,dishes,"[9, 10]",negative,553
don t dine at tamarind for the vegetarian dishes they are simply not up to par with the non veg selections,vegetarian dishes,"[7, 9]",negative,554
don t dine at tamarind for the vegetarian dishes they are simply not up to par with the non veg selections,non veg selections,"[18, 21]",positive,555
decor is nice though service can be spotty,decor,"[0, 1]",positive,556
decor is nice though service can be spotty,service,"[4, 5]",negative,557
this place is always packed,place,"[1, 2]",neutral,558
most importantly food is excellent,food,"[2, 3]",positive,559
try the sea bass,sea bass,"[2, 4]",positive,560
first of all dal bukhara rocks,dal bukhara,"[3, 5]",positive,561
i am happy i did the food was awsome,food,"[6, 7]",positive,562
and yes dal bukhara is so dam good and so are all the kababs,kababs,"[13, 14]",positive,563
and yes dal bukhara is so dam good and so are all the kababs,dal bukhara,"[2, 4]",positive,564
haru on park s is simply disgusting,haru on park s,"[0, 4]",negative,565
the fish was not fresh and the rice tasted old and stale,fish,"[1, 2]",negative,566
the fish was not fresh and the rice tasted old and stale,rice,"[7, 8]",negative,567
quite frankly this is some of the worst sushi i have ever tried,sushi,"[8, 9]",negative,568
honestly the worst sushi my husband and i had in our entire lives,sushi,"[3, 4]",negative,569
not sure why this restaurant would be rated that highly,restaurant,"[4, 5]",negative,570
the all u can eat sushi is definitely in very poor quality,all u can eat sushi,"[1, 6]",negative,571
limited menu no so fresh ingredients thinly sliced fish fall apart rice,menu,"[1, 2]",negative,572
limited menu no so fresh ingredients thinly sliced fish fall apart rice,ingredients,"[5, 6]",negative,573
limited menu no so fresh ingredients thinly sliced fish fall apart rice,fish,"[8, 9]",negative,574
limited menu no so fresh ingredients thinly sliced fish fall apart rice,rice,"[11, 12]",negative,575
the only things u could really taste are the very salty soy sauce even its low sodium the vinegar soaked rice and the scallion on top of the fish,soy sauce,"[11, 13]",negative,576
the only things u could really taste are the very salty soy sauce even its low sodium the vinegar soaked rice and the scallion on top of the fish,rice,"[20, 21]",negative,577
the waitstaffs are nice though,waitstaffs,"[1, 2]",positive,578
i have been to roth s twice and both times were very disappointing,roth s,"[4, 6]",negative,579
both times i was extremely dissappointed by the service which was boarderline rude,service,"[8, 9]",negative,580
the dinner was ok nothing i would have again,dinner,"[1, 2]",negative,581
i had their eggs benedict for brunch which were the worst in my entire life i tried removing the hollondaise sauce completely that was how failed it was,eggs benedict,"[3, 5]",negative,582
with the theater 2 blocks away we had a delicious meal in a beautiful room,meal,"[10, 11]",positive,583
with the theater 2 blocks away we had a delicious meal in a beautiful room,room,"[14, 15]",positive,584
the service was attentive,service,"[1, 2]",positive,585
planet thai is great,planet thai,"[0, 2]",positive,586
we love the food drinks and atmosphere,food,"[3, 4]",positive,587
we love the food drinks and atmosphere,drinks,"[4, 5]",positive,588
we love the food drinks and atmosphere,atmosphere,"[6, 7]",positive,589
the svc can be a bit rude at times esp if you have big group but overall the restaurant is a must,svc,"[1, 2]",negative,590
the svc can be a bit rude at times esp if you have big group but overall the restaurant is a must,restaurant,"[18, 19]",positive,591
try the pad thai it s fabulous and their prices are so cheap,pad thai,"[2, 4]",positive,592
just because it s cheap does not mean the portions are small or the food is nasty it is great,portions,"[9, 10]",positive,593
just because it s cheap does not mean the portions are small or the food is nasty it is great,food,"[14, 15]",positive,594
also the sandwiches nearing 7 didn t come with anything like chips or a side,sandwiches,"[2, 3]",negative,595
also the sandwiches nearing 7 didn t come with anything like chips or a side,sandwiches,"[2, 3]",negative,596
eating in the atmosphere saves it but at your desk it s a very disappointing experience,atmosphere,"[3, 4]",positive,597
chennai garden is my favorite indian restaurant in the city,chennai garden,"[0, 2]",positive,598
they have authentic indian at amazin prices,indian,"[3, 4]",positive,599
they have authentic indian at amazin prices,indian,"[3, 4]",positive,600
this restaurant is vegetarian there are no meat dishes whatsoever,meat dishes,"[7, 9]",negative,601
the seats are uncomfortable if you are sitting against the wall on wooden benches,seats,"[1, 2]",negative,602
it s a rather cramped and busy restaurant and it closes early,restaurant,"[7, 8]",negative,603
it s a rather cramped and busy restaurant and it closes early,restaurant,"[7, 8]",negative,604
patroon features a nice cigar bar and has great staff,cigar bar,"[4, 6]",positive,605
patroon features a nice cigar bar and has great staff,staff,"[9, 10]",positive,606
the food is tasty and portion sizes are appropriate,food,"[1, 2]",positive,607
the food is tasty and portion sizes are appropriate,portion sizes,"[5, 7]",positive,608
this is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates,restaurant,"[4, 5]",positive,609
not a great place for family or general dining,place,"[3, 4]",negative,610
lloovve this place,place,"[2, 3]",positive,611
food is excellent,food,"[0, 1]",positive,612
fish is so very fresh,fish,"[0, 1]",positive,613
waitstaff are very friendly,waitstaff,"[0, 1]",positive,614
love yuka,yuka,"[1, 2]",positive,615
mermaid inn is an overall good restaurant with really good seafood,seafood,"[10, 11]",positive,616
mermaid inn is an overall good restaurant with really good seafood,mermaid inn,"[0, 2]",positive,617
the menu is limited but almost all of the dishes are excellent,menu,"[1, 2]",negative,618
the menu is limited but almost all of the dishes are excellent,dishes,"[9, 10]",positive,619
the lobster sandwich is good and the spaghetti with scallops and shrimp is great,lobster sandwich,"[1, 3]",positive,620
the lobster sandwich is good and the spaghetti with scallops and shrimp is great,spaghetti with scallops and shrimp,"[7, 12]",positive,621
the service is good and ambience is good for a date or group outing,service,"[1, 2]",positive,622
the service is good and ambience is good for a date or group outing,ambience,"[5, 6]",positive,623
the only fallback on this restaurant is the prices,restaurant,"[5, 6]",negative,624
even though its good seafood the prices are too high,seafood,"[4, 5]",positive,625
the lobster sandwich is 24 and although it was good it was not nearly enough to warrant that price,lobster sandwich,"[1, 3]",positive,626
the lobster sandwich is 24 and although it was good it was not nearly enough to warrant that price,lobster sandwich,"[1, 3]",negative,627
the food was delicious i had a halibut special my husband had steak and the service was top notch,food,"[1, 2]",positive,628
the food was delicious i had a halibut special my husband had steak and the service was top notch,halibut special,"[7, 9]",positive,629
the food was delicious i had a halibut special my husband had steak and the service was top notch,steak,"[12, 13]",positive,630
the food was delicious i had a halibut special my husband had steak and the service was top notch,service,"[15, 16]",positive,631
when my dessert came there was a candle in it not because anyone asked for one but because the waiter must have seen me opening my birthday card and gift and said he knew it was a special occassion of some sort,waiter,"[19, 20]",positive,632
truly the mark of an attentive waiter,waiter,"[6, 7]",positive,633
i highly recommend the restaurant based on our experience last night,restaurant,"[4, 5]",positive,634
we ate at this thai place following the reviews but very unhappy with the foods,foods,"[14, 15]",negative,635
we thought that this place is using too much of msg cooking in the foods,foods,"[14, 15]",negative,636
i recommend the jelly fish drunken chicken and the soupy dumplings certainly the stir fry blue crab,jelly fish,"[3, 5]",positive,637
i recommend the jelly fish drunken chicken and the soupy dumplings certainly the stir fry blue crab,drunken chicken,"[5, 7]",positive,638
i recommend the jelly fish drunken chicken and the soupy dumplings certainly the stir fry blue crab,soupy dumplings,"[9, 11]",positive,639
i recommend the jelly fish drunken chicken and the soupy dumplings certainly the stir fry blue crab,stir fry blue crab,"[13, 17]",positive,640
the food is so cheap and the waiters are nice,food,"[1, 2]",positive,641
the food is so cheap and the waiters are nice,waiters,"[7, 8]",positive,642
have frequented ino for several years and the food remains excellent,food,"[8, 9]",positive,643
cheese plate is a varied delight and great bargain at 10,cheese plate,"[0, 2]",positive,644
cheese plate is a varied delight and great bargain at 10,cheese plate,"[0, 2]",positive,645
cheese plate is a varied delight and great bargain at 10,cheese plate,"[0, 2]",positive,646
the large selection of bruschettas paninis tramezzinis keep the palate from stagnating,bruschettas,"[4, 5]",positive,647
the large selection of bruschettas paninis tramezzinis keep the palate from stagnating,paninis,"[5, 6]",positive,648
the large selection of bruschettas paninis tramezzinis keep the palate from stagnating,tramezzinis,"[6, 7]",positive,649
the asparagus truffle oil parmesan bruschetta is a winner,asparagus truffle oil parmesan bruschetta,"[1, 6]",positive,650
wine list is extensive without being over priced,wine list,"[0, 2]",positive,651
wine list is extensive without being over priced,wine list,"[0, 2]",positive,652
be sure to try the seasonal and always delicious specials,specials,"[9, 10]",positive,653
i loved this place,place,"[3, 4]",positive,654
i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded,atmosphere,"[9, 10]",positive,655
the food was very good a great deal and the place its self was great,food,"[1, 2]",positive,656
the food was very good a great deal and the place its self was great,food,"[1, 2]",positive,657
the food was very good a great deal and the place its self was great,place,"[10, 11]",positive,658
the wait staff is very freindly they make it feel like you re eating in a freindly little european town,wait staff,"[1, 3]",positive,659
i like cafe noir dont get me wrong it is jsut that the people who work there are evil and incompetent,people,"[13, 14]",negative,660
i like cafe noir dont get me wrong it is jsut that the people who work there are evil and incompetent,cafe noir,"[2, 4]",positive,661
the service was terrible we had to wait for everything and ask several of different people for the same thing before we were allowed to be served,service,"[1, 2]",negative,662
the waitress seems to be more concerned of looking good than actually waitressing,waitress,"[1, 2]",negative,663
after dinner the manager grabbed my boyfriend asked him where are you from maybe you dont know how things work in america and in the end stormed away almost teareyed yelling that tips are the only thing they survive on,manager,"[3, 4]",negative,664
we did tip i guess the model waitress just wanted more and complained to the manager,waitress,"[7, 8]",negative,665
the whole set up is truly unprofessional and i wish cafe noir would get some good staff because despite the current one this is a great place,staff,"[16, 17]",negative,666
the whole set up is truly unprofessional and i wish cafe noir would get some good staff because despite the current one this is a great place,cafe noir,"[10, 12]",positive,667
pizza here is consistently good,pizza,"[0, 1]",positive,668
salads are a delicious way to begin the meal,salads,"[0, 1]",positive,669
you should pass on the calamari,calamari,"[5, 6]",negative,670
decor is charming,decor,"[0, 1]",positive,671
service is average,service,"[0, 1]",neutral,672
what a great place,place,"[3, 4]",positive,673
